no,name,frequency,topic,category
25,ข้อมูลปริมาณการใช้ไฟฟ้า/ ประปา จำแนกตามอำเภอ และประเภทผู้ใช้,รายเดือน,,เศรษฐกิจ การเงิน และอุตสาหกรรม
26,ข้อมูลปริมาณการนำเข้าส่งออกน้ำมันปาล์ม,รายเดือน,,เศรษฐกิจ การเงิน และอุตสาหกรรม
27,ข้อมูลสถิติคดีในพื้นที่ป่าไม้,รายวัน,ทุจริต คดีความ,กฎหมาย ศาล และอาชญากรรม
28,ข้อมูลสถิติการรับแจ้งความในสถานีตำรวจ,รายวัน,ทุจริต คดีความ,กฎหมาย ศาล และอาชญากรรม
29,ข้อมูลการบำบัดรักษาผู้เสพยาเสพติด และผู้มีอาการทางจิตจากการใช้ยาเสพติด,รายเดือน,สิ่งเสพติด,กฎหมาย ศาล และอาชญากรรม
30,ข้อมูลผู้ก่ออาชญากรรม (เพศ อายุ อาชีพ ฯลฯ) และสถิติการก่ออาชญากรรมแยกประเภทในแต่ละพื้นที่,รายวัน,อาชญากรรม,กฎหมาย ศาล และอาชญากรรม
31,ข้อมูลพื้นที่เสี่ยงเกิดอาชญากรรม,รายเดือน,,กฎหมาย ศาล และอาชญากรรม
32,ข้อมูลสถิติผู้ต้องขังกระทำผิดซ้ำ,รายเดือน,,กฎหมาย ศาล และอาชญากรรม
33,ข้อมูลสถิติผู้ต้องขัง/ นักโทษ จำแนกตามประเภท (เช่น คดีอาญา 4 กลุ่ม),รายเดือน,,กฎหมาย ศาล และอาชญากรรม
34,ข้อมูลสถิติการก่ออาชญากรรมข้ามชาติ,รายไตรมาส,อาชญากรรม,กฎหมาย ศาล และอาชญากรรม
35,ข้อมูลสถานการณ์ด้านความมั่นคงระหว่างประเทศ,รายสัปดาห์,สถานการณ์ความมั่นคงของประเทศ,การเมืองและการปกครอง
36,ข้อมูลการถือครองกรรมสิทธิ์ที่ดินในแต่ละพื้นที่,รายเดือน,กรรมสิทธิ์ที่ดิน,การเมืองและการปกครอง
37,ข้อมูลสถานการณ์ด้านความมั่นคงภายในประเทศ,รายสัปดาห์,สถานการณ์ความมั่นคงของประเทศ,การเมืองและการปกครอง
38,การใช้ประโยชน์ที่ดิน (แยกตามประเภท) รายจังหวัด อำเภอ ตำบล,รายไตรมาส,การใช้ประโยชน์ที่ดิน,การเมืองและการปกครอง
39,ข้อมูลการเข้า-ออก ประเทศไทยของชาวต่างชาติ,รายวัน,การเข้าเมือง,การเมืองและการปกครอง
40,ข้อมูลการเดินทางเข้า-ออก ประเทศไทยของคนไทย,รายวัน,การเข้าเมือง,การเมืองและการปกครอง
41,ข้อมูลกำลังพลสำรอง,รายไตรมาส,สถานการณ์ความมั่นคงของประเทศ,การเมืองและการปกครอง
42,ข้อมูลการใช้ประโยชน์พื้นที่ป่า,รายเดือน,การใช้ประโยชน์ที่ป่า,การเมืองและการปกครอง
43,ข้อมูลด้านกำลังพล/ กำลังพลสำรอง,รายปี,,การเมืองและการปกครอง
44,ข้อมูลแหล่งโบราณสถาน และแหล่งโบราณคดี,รายครึ่งปี,แหล่งท่องเที่ยว,การท่องเที่ยวและกีฬา
45,ข้อมูลการเข้าพักแรมของชาวต่างชาติ สถานที่และวันที่ เข้า-ออก ที่พัก,รายไตรมาส,สถาที่พักนักท่องเที่ยว,การท่องเที่ยวและกีฬา
46,ข้อมูลส่งเสริมประชาสัมพันธ์การท่องเที่ยวของแต่ละพื้นที่,รายเดือน,มาตรการ,การท่องเที่ยวและกีฬา
47,ข้อมูลแหล่งท่องเที่ยว และสถิตินักท่องเที่ยว,รายสัปดาห์,แหล่งท่องเที่ยว,การท่องเที่ยวและกีฬา
48,ข้อมูลแรงงานภาคการท่องเที่ยว/ ค่าแรงงานภาคธุรกิจบริการและการท่องเที่ยว,รายเดือน,,การท่องเที่ยวและกีฬา
49,ข้อมูลรายได้/ ค่าใช้จ่ายจากการท่องเที่ยว/ จากนักท่องเที่ยว ,รายเดือน,,การท่องเที่ยวและกีฬา
50,ข้อมูลสถานการณ์การท่องเที่ยว/ การท่องเที่ยวจำแนกรายจังหวัด,รายเดือน,,การท่องเที่ยวและกีฬา
51,ข้อมูลจำนวนผู้สำเร็จการศึกษารายสาขา ในแต่ละวุฒิการศึกษา,รายครึ่งปี,จำนวนนักศึกษา,การศึกษา
52,ข้อมูลพิกัดสถานศึกษา,รายครึ่งปี,สถานที่ศึกษา,การศึกษา
53,ข้อมูลนักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,รายปี,จำนวนนักศึกษา,การศึกษา
54,ข้อมูลการประกอบอาชีพของผู้ศึกษา,รายปี,การเข้าทำงาน,การศึกษา
55,ข้อมูลจำนวนครูในแต่ละโรงเรียน,รายปี,จำนวนบุคลากรด้านการศึกษา,การศึกษา
56,ข้อมูลจำนวนเยาวชนนอกสถานศึกษา,รายครึ่งปี,จำนวนนักศึกษา,การศึกษา
57,ข้อมูลจำนวนสถานศึกษา จำแนกตามสังกัด ทั่วราชอาณาจักร,รายไตรมาส,จำนวนสถานศึกษา,การศึกษา
58,ข้อมูลหลักสูตรที่เปิดสอนในระดับอุดมศึกษา,รายปี,,การศึกษา
59,ข้อมูลค่าใช้จ่ายในการศึกษา,รายปี,,การศึกษา
60,ข้อมูลการมีงานทำของนักศึกษาจบใหม่,รายปี,,การศึกษา
61,"ข้อมูลจำนวนนักเรียน/ นักศึกษา จำแนกตามระดับการศึกษา, ปีการศึกษา, พื้นที่การศึกษา",รายปี,,การศึกษา
62,ข้อมูลเส้นทางคมนาคม ถนน ซอย ตรอก,รายครึ่งปี,เส้นทางคมนาคม,คมนาคมและโลจิสติกส์
63,ข้อมูลจำนวนรถที่จดทะเบียนสะสม แยกตามชนิดเชื้อเพลิงที่ใช้ ประเภทรถ ยี่ห้อ,รายเดือน,จดทะเบียนรถยนต์,คมนาคมและโลจิสติกส์
64,ข้อมูลปริมาณการเดินทางแต่ละสถานี ของคนใช้รถไฟฟ้า BTS/MRT,รายชั่วโมง,ปริมาณการโดยสาร,คมนาคมและโลจิสติกส์
65,ข้อมูลเลขไมล์รถยนต์และรถโดยสาร,รายปี,การเดินรถ,คมนาคมและโลจิสติกส์
66,ข้อมูลปริมาณการเดินทางบนทางหลวง จำแนกตามประเภทยานพาหนะ,รายวัน,,คมนาคมและโลจิสติกส์
67,ข้อมูลปริมาณผู้โดยสารที่เดินทางด้วยระบบขนส่งสาธารณะภายในประเทศ จำแนกตามประเภทยานพาหนะ,รายวัน,,คมนาคมและโลจิสติกส์
68,ข้อมูลการให้บริการจัดทำหนังสือเดินทางอิเล็กทรอนิกส์,รายวัน,,คมนาคมและโลจิสติกส์
69,ข้อมูลปริมาณการเดินทางในช่วงเทศกาล,รายวัน,,คมนาคมและโลจิสติกส์
70,ข้อมูลการเกิดอุบัติเหตุทางถนน,รายวัน,,คมนาคมและโลจิสติกส์
71,ข้อมูลการจัดสรร และการเบิกจ่ายงบประมาณของส่วนราชการ,รายไตรมาส,การจัดสรร และเบิกจ่ายงบ,งบประมาณและการใช้จ่ายของภาครัฐ
72,ข้อมูลการจัดสรร และการเบิกจ่ายงบประมาณขององค์กรปกครองส่วนท้องถิ่น,รายเดือน,การจัดสรร และเบิกจ่ายงบ,งบประมาณและการใช้จ่ายของภาครัฐ
73,ข้อมูลการจ่ายเงินเดือนข้าราชการ แยกตามกระทรวงและกรม รวมถึงส่วนท้องถิ่น,รายเดือน,การจัดสรร และเบิกจ่ายงบ,งบประมาณและการใช้จ่ายของภาครัฐ
74,ข้อมูลสถิติเรื่องร้องเรียนการทุจริตในภาครัฐ แสดงประเภท วันที่ร้องเรียน หน่วยงานที่เกี่ยวข้อง หัวข้อ และคำอธิบายเรื่องร้องเรียน,รายเดือน,ร้องเรียน,งบประมาณและการใช้จ่ายของภาครัฐ
75,ข้อมูลสภาพภูมิอากาศรายวันในแต่ละพื้นที่ แต่ละจุดตรวจวัด ย้อนหลังทั้งหมดถึงปัจจุบัน,รายชั่วโมง (หรือถี่กว่า),สภาพอากาศ,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
76,ข้อมูลตำแหน่งของแหล่งน้ำ แม่น้ำ ห้วย หนอง คลอง บึง น้ำบาดาล,รายปี,แหล่งน้ำ,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
77,ข้อมูลตำแหน่งชลประทานและรายละเอียดประกอบต่าง ๆ,รายปี,แหล่งน้ำ,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
78,ข้อมูลปริมาณน้ำฝน/ข้อมูลสถิติด้านปริมาณน้ำฝนย้อนหลัง,รายชั่วโมง,ปริมาณน้ำฝน,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
79,ข้อมูลการให้อนุญาตเข้าถึงทรัพยากรชีวภาพและภูมิปัญญาท้องถิ่น,รายครึ่งปี,การขออนุญาต,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
80,ข้อมูลพื้นที่ป่าอนุรักษ์,รายไตรมาส,พื้นที่ป่า,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
81,ข้อมูลปริมาณน้ำในเขื่อนทั่วประเทศ,รายวัน,จัดการน้ำ,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
82,ข้อมูลภัยธรรมชาติ แสดงประเภท (เช่น น้ำท่วม น้ำแล้ง ดินถล่ม) พื้นที่ที่เสียหาย  ผู้เสียชีวิต ผู้บาดเจ็บ จำนวนผู้รับผลกระทบด้านอื่น ๆ ฯลฯ,รายเดือน,ภัยธรรมชาติ,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
83,ข้อมูลจุดความร้อน​เพื่อจัดการไฟป่า,รายชั่วโมง,พื้นที่ป่า,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
84,ข้อมูลพื้นที่แหล่งมรดกโลก,รายไตรมาส,มรดกโลก,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
85,ข้อมูลพื้นที่อุทยาน,รายปี,พื้นที่ป่า,ทรัพยากรธรรมชาติและสิ่งแวดล้อม
86,ข้อมูลการใช้อินเทอร์เน็ตผ่านอุปกรณ์แบบต่าง ๆ ,รายวัน,การใช้งานอินเทอร์เน็ต,วิทยาศาสตร์ เทคโนโลยีดิจิทัล และนวัตกรรม
87,ข้อมูลความหนาแน่นของผู้ใช้บริการมือถือในแต่ละช่วงเวลา,รายวัน,จำนวนผู้ใช้มือถือ,วิทยาศาสตร์ เทคโนโลยีดิจิทัล และนวัตกรรม
88,ข้อมูลเว็บไซต์ที่ผิดกฏหมาย ,รายเดือน,การใช้งานอินเทอร์เน็ต,วิทยาศาสตร์ เทคโนโลยีดิจิทัล และนวัตกรรม
89,ข้อมูลสถิติภัยคุกคามทางไซเบอร์,รายเดือน,คุกคามทางไซเบอร์,วิทยาศาสตร์ เทคโนโลยีดิจิทัล และนวัตกรรม
90,ข้อมูลเครื่องโทรคมนาคมและอุปกรณ์ที่ผ่านการจดทะเบียน,รายเดือน,,วิทยาศาสตร์ เทคโนโลยีดิจิทัล และนวัตกรรม
91,ข้อมูลเครื่องโทรคมนาคมและอุปกรณ์ที่ผ่านการรับรองมาตรฐาน,รายเดือน,,วิทยาศาสตร์ เทคโนโลยีดิจิทัล และนวัตกรรม
92,ข้อมูลจำนวนเลขหมายโทรศัพท์เคลื่อนที่ที่ได้รับการจดทะเบียน,รายเดือน,,วิทยาศาสตร์ เทคโนโลยีดิจิทัล และนวัตกรรม
93,ข้อมูลนักออกแบบ ประเภทสินค้า รายละเอียดสินค้า และการใช้จ่ายสินค้าศิลปหัตถกรรมไทย,รายเดือน,หัตถกรรม,ศาสนา ศิลปะ และวัฒนธรรม
94,ข้อมูลหอศิลป์ และแหล่งเรียนรู้ทางวัฒนธรรม,รายปี,แหล่งเรียนรู้,ศาสนา ศิลปะ และวัฒนธรรม
95,ข้อมูลจำนวนประชากรแบ่งตาม เพศ อายุ ในแต่ละพื้นที่,รายปี,จำนวนประชากร,สถิติ
96,ข้อมูลจำนวนประชากรแฝง,รายปี,จำนวนประชากร,สถิติ
97,ข้อมูลจำนวนครัวเรือน,รายปี,จำนวนประชากร,สถิติ
98,ข้อมูลรายได้ต่อครัวเรือน,รายปี,รายได้ต่อครัวเรือน,สถิติ
99,ข้อมูลผู้ถือบัตรสวัสดิการแห่งรัฐ,รายเดือน,สวัสดิการ,สังคมและสวัสดิการ
100,ข้อมูลผู้ประกันตน และเงินสมทบผู้ประกันตน มาตรา 33,รายเดือน,ขึ้นทะเบียน,สังคมและสวัสดิการ
101,ข้อมูลจำนวนผู้สูงอายุ ในแต่ละพื้นที่,รายเดือน,การแบ่งกลุ่มประชากร,สังคมและสวัสดิการ
102,ข้อมูลสภาพความจำเป็นพื้นฐานของคนในครัวเรือนในด้านต่างๆ เกี่ยวกับคุณภาพชีวิต (จปฐ.),รายเดือน,การแบ่งกลุ่มประชากร,สังคมและสวัสดิการ
103,ข้อมูลการส่งเสริมอาชีพของชุมชน และกลุ่มผู้สูงอายุ,รายสัปดาห์,ส่งเสริมอาชีพ,สังคมและสวัสดิการ
104,ข้อมูลคนพิการหรือเสมือนไร้ความสามารถ,รายเดือน,การแบ่งกลุ่มประชากร,สังคมและสวัสดิการ
105,ข้อมูลผู้ลงทะเบียนประกันสังคม,รายเดือน,ขึ้นทะเบียน,สังคมและสวัสดิการ
106,ข้อมูลกองทุนเพื่อการเลี้ยงชีพ กองทุนรวมเพื่อการออม,รายปี,กองทุน,สังคมและสวัสดิการ
107,ข้อมูลรายได้แต่ละอาชีพ แบ่งตามช่วงอายุและประสบการณ์,รายเดือน,รายได้/รายจ่าย,สังคมและสวัสดิการ
108,ข้อมูลการค้าประเวณี,รายเดือน,การแบ่งกลุ่มประชากร,สังคมและสวัสดิการ
109,ข้อมูลผู้กู้เงินเรียน กยศ.,รายไตรมาส,สวัสดิการ,สังคมและสวัสดิการ
110,ข้อมูลสิทธิประกันสุขภาพ,รายปี,สวัสดิการ,สังคมและสวัสดิการ
111,ข้อมูลอาชีพและรายได้ของคนไทยและต่างด้าว,รายไตรมาส,ส่งเสริมอาชีพ,สังคมและสวัสดิการ
112,ข้อมูลการใช้ไฟฟ้าในแต่ละพื้นที่,รายชั่วโมง,การใช้ไฟฟ้า,สาธารณสุข
113,ข้อมูลคุณภาพอากาศ ฝุ่นละออง,รายชั่วโมง,คุณภาพอากาศ,สาธารณสุข
114,ข้อมูลการใช้ประปาในแต่ละพื้นที่,รายชั่วโมง,การใช้ประปา,สาธารณสุข
115,ข้อมูลอุบัติเหตุ อุบัติภัย,รายชั่วโมง,อุบัติเหตุ,สาธารณสุข
116,ข้อมูลการขึ้นทะเบียนวัคซีนในประเทศ,รายวัน,ยารักษาโรค,สาธารณสุข
117,ข้อมูลการเจ็บป่วยในเรือนจำ,รายเดือน,การเจ็บป่วย,สาธารณสุข
118,ข้อมูลคดีจราจร,รายชั่วโมง,อุบัติเหตุ,สาธารณสุข
119,ข้อมูลจากกล้องซีซีทีวี,รายชั่วโมง,สาธารณะภัย,สาธารณสุข
120,ข้อมูลจำนวนและมูลค่าการผลิตวัคซีนในประเทศ และนำเข้าวัคซีนมาในประเทศ แยกเป็นรายผลิตภัณฑ์,รายไตรมาส,วัคซีน,สาธารณสุข
121,ข้อมูลปริมาณขยะมูลฝอย ตามพื้นที่ที่ละเอียดที่สุด,รายวัน,ขยะมูลฝอย,สาธารณสุข
122,ข้อมูลโรคติดต่อหรือโรคระบาด,รายวัน,โรคระบาด,สาธารณสุข
123,ข้อมูลสิทธิการรักษาพยาบาล/สิทธิหลักประกันสุขภาพแห่งชาติ,รายไตรมาส,รักษาพยาบาล,สาธารณสุข
